Sample No.,Resistance
1,5045
2,4350
3,4350
4,3975
5,4290
6,4430
7,4485
8,4285
9,3980
10,3925
11,3645
12,3760
13,3300
14,3685
15,3463
16,5200
17,5100
18,4635
19,5100
20,5450
21,4635
22,4720
23,4810
24,4565
25,4410
26,4065
27,4565
28,5190
29,4725
30,4640
31,4640
32,4895
33,4790
34,4845
35,4700
36,4600
37,4110
38,4410
39,4180
40,4790
41,4790
42,4340
43,4895
44,5750
45,4740
46,5000
47,4895
48,4255
49,4170
50,3850
51,4445
52,4650
53,4170
54,4255
55,4170
56,4375
57,4175
58,4550
59,4450
60,2855
61,2920
62,4375
63,4375
64,4355
65,4090
66,5000
67,4335
68,5000
69,4640
70,4335
71,5000
72,4615
73,4215
74,4275
75,4275
76,5000
77,4615
78,4735
79,4215
80,4700
81,4700
82,4700
83,4700
84,4095
85,4095
86,3940
87,3700
88,3650
89,4445
90,4000
91,4845
92,5000
93,4560
94,4700
95,4310
96,4310
97,5000
98,4575
99,4700
100,4430
101,4850
102,4850
103,4570
104,4570
105,4855
106,4160
107,4325
108,4125
109,4100
110,4340
111,4575
112,3875
113,4050
114,4050
115,4685
116,4685
117,4430
118,4300
119,4690
120,4560
121,3075
122,2965
123,4080
124,4080
125,4425
126,4300
127,4430
128,4840
129,4840
130,4310
131,4185
132,4570
133,4700
134,4440
135,4850
136,4125
137,4450
138,4450
139,4850
140,4450
141,3635
142,3635
143,3635
144,3900
145,4340
146,4340
147,3665
148,3775
149,5000
150,4850
151,4775
152,4500
153,4770
154,4500
155,4770
156,5150
157,4850
158,4700
159,5000
160,5000
161,5000
162,4700
163,4500
164,4840
165,5075
166,5000
167,4770
168,4570
169,4925
170,4775
171,5075
172,4925
173,5075
174,4925
175,5250
176,4915
177,5600
178,5075
179,4450
180,4215
181,4325
182,4665
183,4615
184,4615
185,4500
186,4765
187,4500
188,4500
189,4850
190,4930
191,4700
192,4890
193,4625
194,4425
195,4135
196,4190
197,4080
198,3690
199,5050
200,4625
201,5150
202,5250
203,5000
204,5000
